iteration,gain_max,ugf,pm,temperature,vdd,vcm_diff
91,38.5909,11829300,71.8869,50,1.7,-0.2
92,51.4059,13768100,66.8847,50,1.7,-0.2
93,53.8598,13856400,66.4265,50,1.7,-0.2
94,52.9855,13777600,65.3815,50,1.7,-0.2
95,64.8829,14900900,65.0312,50,1.7,-0.2
96,58.1168,14427300,64.9108,50,1.7,-0.2
97,68.2214,15322700,64.6699,50,1.7,-0.2
98,63.6253,14506100,65.0246,50,1.7,-0.2
99,43.2544,12915000,69.481,50,1.7,-0.2
100,59.2593,14328500,65.5489,50,1.7,-0.2
101,50.2872,13667800,67.1866,50,1.7,-0.2
102,68.5275,15392500,64.811,50,1.7,-0.2
103,43.1705,13020500,69.5693,50,1.7,-0.2
104,64.617,14782300,65.0373,50,1.7,-0.2
105,39.2493,12038300,71.5107,50,1.7,-0.2
106,43.818,13043900,69.2909,50,1.7,-0.2
107,64.7792,14728500,65.0273,50,1.7,-0.2
108,47.272,12827900,66.1079,50,1.7,-0.2
109,67.8149,15186700,64.7003,50,1.7,-0.2
110,62.2217,14499600,65.2172,50,1.7,-0.2
111,46.8894,12667700,66.1275,50,1.7,-0.2
112,66.8423,15346800,64.8779,50,1.7,-0.2
113,64.3279,14700900,65.0262,50,1.7,-0.2
114,41.7038,11277300,67.2514,50,1.7,-0.2
115,69.2166,15348900,64.7867,50,1.7,-0.2
116,42.1108,11367900,67.179,50,1.7,-0.2
117,46.7162,12556200,66.1213,50,1.7,-0.2
118,66.5949,15009800,64.6625,50,1.7,-0.2
119,62.6059,14394800,65.1709,50,1.7,-0.2
120,61.1649,14634800,64.8259,50,1.7,-0.2
121,69.4068,15371700,64.7555,50,1.7,-0.2
122,46.7606,13281000,68.1944,50,1.7,-0.2
123,48.4221,13505100,67.6413,50,1.7,-0.2
124,64.2911,14714000,64.9997,50,1.7,-0.2
125,41.2403,12611900,70.445,50,1.7,-0.2
126,35.6424,10705900,73.6659,50,1.7,-0.2
127,56.5116,14104000,65.9686,50,1.7,-0.2
128,65.6796,15288100,65.0099,50,1.7,-0.2
129,47.5153,13364200,67.8841,50,1.7,-0.2
130,42.9314,12844500,69.6292,50,1.7,-0.2
131,61.0427,14311100,65.352,50,1.7,-0.2
132,64.5625,14605500,64.9825,50,1.7,-0.2
133,66.4588,15398800,64.9579,50,1.7,-0.2
134,58.3388,14155800,65.6442,50,1.7,-0.2
135,45.3476,13143800,68.6162,50,1.7,-0.2
136,66.9081,15351900,64.9118,50,1.7,-0.2
137,64.1952,14567500,64.9979,50,1.7,-0.2
138,65.1885,15090500,65.0382,50,1.7,-0.2
139,46.5158,12543500,66.1889,50,1.7,-0.2
140,65.5032,15185800,65.0783,50,1.7,-0.2
141,42.2007,11364400,67.1234,50,1.7,-0.2
142,38.1911,10142000,68.3921,50,1.7,-0.2
143,59.1808,14303300,65.6125,50,1.7,-0.2
144,40.2947,10802000,67.7572,50,1.7,-0.2
145,44.5964,12175300,66.5898,50,1.7,-0.2
146,65.5685,15260500,65.0066,50,1.7,-0.2
147,59.0265,14449400,64.9063,50,1.7,-0.2
148,67.0682,15151400,64.6429,50,1.7,-0.2
149,64.9107,14817400,65.0297,50,1.7,-0.2
150,65.3917,15094100,65.0173,50,1.7,-0.2
1,39.2313,13280400,71.9787,20,1.8,-0.2
2,43.0778,14238200,69.8912,20,1.8,-0.2
3,48.8879,14988600,67.7968,20,1.8,-0.2
4,65.018,16443200,65.0335,20,1.8,-0.2
5,37.2082,10863200,69.7705,20,1.8,-0.2
6,65.4772,16799200,65.0043,20,1.8,-0.2
7,64.1734,16126500,65.0874,20,1.8,-0.2
8,64.7823,16360700,65.0226,20,1.8,-0.2
9,43.8687,13258100,67.3445,20,1.8,-0.2
10,56.0802,15949000,65.1579,20,1.8,-0.2
11,54.177,15537200,65.4048,20,1.8,-0.2
12,65.489,16917600,64.9342,20,1.8,-0.2
13,65.3445,16778600,65.0054,20,1.8,-0.2
14,65.4388,16859200,64.9926,20,1.8,-0.2
15,65.8377,17157300,64.925,20,1.8,-0.2
16,42.8996,12910600,67.5495,20,1.8,-0.2
17,62.7319,16120700,65.1886,20,1.8,-0.2
18,65.6801,16922200,64.9979,20,1.8,-0.2
19,51.263,15226900,67.1271,20,1.8,-0.2
20,66.1023,17220600,64.905,20,1.8,-0.2
21,41.3008,12380400,68.0437,20,1.8,-0.2
22,42.5605,14140600,70.1466,20,1.8,-0.2
23,70.3086,17249400,64.6324,20,1.8,-0.2
24,60.0781,16362600,64.8868,20,1.8,-0.2
25,65.1501,16678400,65.017,20,1.8,-0.2
26,64.9959,16569700,65.0584,20,1.8,-0.2
27,65.8558,17033200,64.9301,20,1.8,-0.2
28,39.7219,13519300,71.6692,20,1.8,-0.2
29,65.6593,16889000,65.0156,20,1.8,-0.2
30,69.2562,17020700,64.6622,20,1.8,-0.2
31,47.4841,14877000,68.1193,20,1.8,-0.2
32,65.679,16986000,64.9381,20,1.8,-0.2
33,65.2403,16757200,64.9768,20,1.8,-0.2
34,40.2047,13756900,71.4654,20,1.8,-0.2
35,65.2944,16798600,64.6567,20,1.8,-0.2
36,60.794,15783500,65.4988,20,1.8,-0.2
37,70.1939,17187000,64.5947,20,1.8,-0.2
38,41.2409,13867100,70.8233,20,1.8,-0.2
39,65.6633,16978200,64.9351,20,1.8,-0.2
40,66.3013,17116100,64.908,20,1.8,-0.2
41,66.3209,17128900,64.927,20,1.8,-0.2
42,45.1343,13578800,66.8761,20,1.8,-0.2
43,66.2123,17061400,64.9294,20,1.8,-0.2
44,64.5459,16400800,65.0481,20,1.8,-0.2
45,53.3852,15414200,65.5035,20,1.8,-0.2
46,54.7257,15739100,65.3211,20,1.8,-0.2
47,66.6778,17248700,64.8808,20,1.8,-0.2
48,55.3712,15515900,66.3183,20,1.8,-0.2
49,65.5977,16962000,64.9773,20,1.8,-0.2
50,65.0149,16498200,65.0212,20,1.8,-0.2
51,64.6857,16330000,65.0033,20,1.8,-0.2
52,49.7803,15106300,67.5598,20,1.8,-0.2
53,52.7576,15206200,66.83,20,1.8,-0.2
54,66.5341,17054700,64.8909,20,1.8,-0.2
55,65.2136,16709200,65.0036,20,1.8,-0.2
56,67.7078,16936500,64.6595,20,1.8,-0.2
57,36.9161,12475100,73.5245,20,1.8,-0.2
58,65.1903,16607600,65.0124,20,1.8,-0.2
59,64.6818,16476700,64.9872,20,1.8,-0.2
60,64.8987,16497500,65.0267,20,1.8,-0.2
61,64.9762,16506700,64.9758,20,1.8,-0.2
62,45.3229,13624800,66.8655,20,1.8,-0.2
63,65.138,16523700,64.9937,20,1.8,-0.2
64,66.3428,16871200,64.644,20,1.8,-0.2
65,67.3431,17302500,64.8099,20,1.8,-0.2
